,Name only,page url,Ref count,nb_journal_citations,citation org,citation gov,citation IPCC,citation com,citationipbes,citationguardian,org score,gov score,com score,Sci score,IPCC score,percentage of official sources,Page id,Edit protection,Page lenght (Bytes),DOB,Creator,Total edits,Recent edits,Formated DOB,Year_month,Year
727,Societal collapse,https://en.wikipedia.org/wiki/Societal_collapse,99,22,15,0,0,21,0,0,0.1515151515,0,0.2121212121,0.2222222222,0,0.3737373737,3328588,Allow all users (no expiry set),96312,5 December 2005,Lindosland,1402,6,2005-12-05,2005-12,2005
728,Ed Davey,https://en.wikipedia.org/wiki/Ed_Davey,185,1,10,17,0,30,0,27,0.05405405405,0.09189189189,0.1621621622,0.005405405405,0,0.1513513514,420166,Allow all users (no expiry set),118291,4 January 2004,Morwen,1135,21,2004-01-04,2004-01,2004
729,Rewilding (conservation biology),https://en.wikipedia.org/wiki/Rewilding_(conservation_biology),98,26,11,0,0,13,0,11,0.112244898,0,0.1326530612,0.2653061224,0,0.3775510204,20690782,Allow all users (no expiry set),56085,14 December 2008,Brazilian Tiger,395,24,2008-12-14,2008-12,2008
730,Mindanao,https://en.wikipedia.org/wiki/Mindanao,68,1,9,15,1,26,0,0,0.1323529412,0.2205882353,0.3823529412,0.01470588235,0.01470588235,0.3823529412,20546,Allow all users (no expiry set),77062,15 November 2001,170.28.128.xxx,1955,1,2001-11-15,2001-11,2001
731,Bird migration perils,https://en.wikipedia.org/wiki/Bird_migration_perils,24,7,1,0,0,2,0,0,0.04166666667,0,0.08333333333,0.2916666667,0,0.3333333333,41246005,Allow all users (no expiry set),23768,2 December 2013,Romanm101,321,0,2013-12-02,2013-12,2013
732,Coral Reef Conservation Program,https://en.wikipedia.org/wiki/Coral_Reef_Conservation_Program,17,1,1,5,0,0,0,0,0.05882352941,0.2941176471,0,0.05882352941,0,0.4117647059,60758754,Allow all users (no expiry set),21430,14 May 2019,Ilikebread5445,63,0,2019-05-14,2019-05,2019
733,Deforestation in Brazil,https://en.wikipedia.org/wiki/Deforestation_in_Brazil,99,10,22,8,1,35,0,6,0.2222222222,0.08080808081,0.3535353535,0.101010101,0.0101010101,0.4141414141,14434109,Allow all users (no expiry set),72381,26 November 2007,Utcursch,940,12,2007-11-26,2007-11,2007
734,2019–20 Australian bushfire season,https://en.wikipedia.org/wiki/2019%E2%80%9320_Australian_bushfire_season,570,7,30,60,0,289,0,53,0.05263157895,0.1052631579,0.5070175439,0.01228070175,0,0.1701754386,62297572,Allow all users (no expiry set),324884,10 November 2019,Mitch Ames,3222,12,2019-11-10,2019-11,2019
735,Neanderthal extinction,https://en.wikipedia.org/wiki/Neanderthal_extinction,67,46,4,0,0,9,0,1,0.05970149254,0,0.1343283582,0.6865671642,0,0.7462686567,1335645,Allow all users (no expiry set),43107,28 December 2004,Jason Potter,1176,0,2004-12-28,2004-12,2004
736,Amelia Earhart Dam,https://en.wikipedia.org/wiki/Amelia_Earhart_Dam,2,0,0,0,0,2,0,0,0,0,1,0,0,0,43869903,Allow all users (no expiry set),2811,19 September 2014,ArnoldReinhold,23,0,2014-09-19,2014-09,2014
737,Environmental issues in Israel,https://en.wikipedia.org/wiki/Environmental_issues_in_Israel,20,6,2,5,0,0,0,0,0.1,0.25,0,0.3,0,0.65,52272493,Allow all users (no expiry set),23984,14 November 2016,Arobinson129,97,5,2016-11-14,2016-11,2016
738,Antarctic bottom water,https://en.wikipedia.org/wiki/Antarctic_bottom_water,15,12,0,0,0,3,0,0,0,0,0.2,0.8,0,0.8,4340750,Allow all users (no expiry set),11840,10 March 2006,Hgrobe,126,0,2006-03-10,2006-03,2006
739,Environmental issues in Melbourne,https://en.wikipedia.org/wiki/Environmental_issues_in_Melbourne,24,0,3,6,0,7,0,0,0.125,0.25,0.2916666667,0,0,0.375,60462183,Allow all users (no expiry set),12631,10 April 2019,Jarble,8,0,2019-04-10,2019-04,2019
740,France and the United Nations,https://en.wikipedia.org/wiki/France_and_the_United_Nations,42,3,29,1,0,3,0,0,0.6904761905,0.02380952381,0.07142857143,0.07142857143,0,0.7857142857,6493143,Allow all users (no expiry set),32854,16 August 2006,Donarreiskoffer,137,2,2006-08-16,2006-08,2006
741,Lessepsian migration,https://en.wikipedia.org/wiki/Lessepsian_migration,25,10,4,1,0,0,0,0,0.16,0.04,0,0.4,0,0.6,6174646,Allow all users (no expiry set),27937,29 July 2006,Martyn Smith,201,0,2006-07-29,2006-07,2006
742,Benthic-pelagic coupling,https://en.wikipedia.org/wiki/Benthic-pelagic_coupling,17,16,0,0,0,0,0,0,0,0,0,0.9411764706,0,0.9411764706,61916414,Allow all users (no expiry set),13325,29 September 2019,Mmhaas,26,0,2019-09-29,2019-09,2019
743,Jim Inhofe,https://en.wikipedia.org/wiki/Jim_Inhofe,167,0,22,40,0,94,0,3,0.1317365269,0.2395209581,0.5628742515,0,0,0.371257485,380802,Require autoconfirmed or confirmed access (no expiry set),112236,27 November 2003,Academic Challenger,2189,2,2003-11-27,2003-11,2003
744,Chris Huhne,https://en.wikipedia.org/wiki/Chris_Huhne,140,0,12,2,0,18,0,22,0.08571428571,0.01428571429,0.1285714286,0,0,0.1,723762,Allow all users (no expiry set),84934,13 June 2004,Secretlondon,1787,6,2004-06-13,2004-06,2004
745,Amazon basin,https://en.wikipedia.org/wiki/Amazon_basin,41,9,3,0,0,12,0,0,0.07317073171,0,0.2926829268,0.2195121951,0,0.2926829268,453551,Allow all users (no expiry set),27841,3 February 2004,Mikezeta,2256,3,2004-02-03,2004-02,2004
746,Ro Khanna,https://en.wikipedia.org/wiki/Ro_Khanna,203,0,15,16,0,166,0,1,0.07389162562,0.07881773399,0.8177339901,0,0,0.1527093596,38318277,Allow all users (no expiry set),107014,24 January 2013,Muboshgu,1012,7,2013-01-24,2013-01,2013
747,International relations since 1989,https://en.wikipedia.org/wiki/International_relations_since_1989,127,2,16,3,0,51,0,0,0.125984252,0.02362204724,0.4015748031,0.0157480315,0,0.1653543307,67419609,Allow all users (no expiry set),96504,17 April 2021,Rjensen,268,7,2021-04-17,2021-04,2021
748,Forest dynamics,https://en.wikipedia.org/wiki/Forest_dynamics,8,3,2,1,0,0,0,0,0.25,0.125,0,0.375,0,0.75,1867272,Allow all users (no expiry set),9595,10 May 2005,Monkofthetrueschool,60,0,2005-05-10,2005-05,2005
749,Puerto Rico,https://en.wikipedia.org/wiki/Puerto_Rico,375,11,67,55,0,152,0,1,0.1786666667,0.1466666667,0.4053333333,0.02933333333,0,0.3546666667,23041,Require administrator access (no expiry set),289602,17 March 2001,209.91.204.xxx,14855,14,2001-03-17,2001-03,2001
750,Center for International Forestry Research,https://en.wikipedia.org/wiki/Center_for_International_Forestry_Research,20,1,16,0,0,4,0,0,0.8,0,0.2,0.05,0,0.85,1116822,Allow all users (no expiry set),24159,30 October 2004,PDH,181,0,2004-10-30,2004-10,2004
751,Stephan Lewandowsky,https://en.wikipedia.org/wiki/Stephan_Lewandowsky,38,13,5,0,0,14,0,1,0.1315789474,0,0.3684210526,0.3421052632,0,0.4736842105,41915080,Allow all users (no expiry set),26013,11 February 2014,IntoThinAir,157,0,2014-02-11,2014-02,2014
752,Ice algae,https://en.wikipedia.org/wiki/Ice_algae,50,39,3,2,2,1,0,0,0.06,0.04,0.02,0.78,0.04,0.92,2065110,Allow all users (no expiry set),37032,17 June 2005,Yakuzai,119,2,2005-06-17,2005-06,2005
753,Brown planthopper,https://en.wikipedia.org/wiki/Brown_planthopper,28,20,2,0,0,0,0,0,0.07142857143,0,0,0.7142857143,0,0.7857142857,4182397,Allow all users (no expiry set),17692,24 February 2006,Newbi,170,0,2006-02-24,2006-02,2006
754,J. Scott Armstrong,https://en.wikipedia.org/wiki/J._Scott_Armstrong,36,10,7,0,0,8,0,0,0.1944444444,0,0.2222222222,0.2777777778,0,0.4722222222,11160888,Allow all users (no expiry set),19163,10 May 2007,Kxjtaz,473,0,2007-05-10,2007-05,2007
755,Rhodolith,https://en.wikipedia.org/wiki/Rhodolith,31,26,1,0,1,1,0,0,0.03225806452,0,0.03225806452,0.8387096774,0.03225806452,0.9032258065,11766287,Allow all users (no expiry set),23840,14 June 2007,GregBenson,91,0,2007-06-14,2007-06,2007
756,Dystrophic lake,https://en.wikipedia.org/wiki/Dystrophic_lake,13,1,0,0,0,0,0,0,0,0,0,0.07692307692,0,0.07692307692,16189349,Allow all users (no expiry set),10665,9 March 2008,Lesfreck,49,0,2008-03-09,2008-03,2008
757,Sierra Nevada subalpine zone,https://en.wikipedia.org/wiki/Sierra_Nevada_subalpine_zone,26,15,1,0,0,0,0,0,0.03846153846,0,0,0.5769230769,0,0.6153846154,10650713,Allow all users (no expiry set),25974,13 April 2007,Crdolanc,138,0,2007-04-13,2007-04,2007
758,Inuit Nunangat,https://en.wikipedia.org/wiki/Inuit_Nunangat,40,0,1,2,0,6,0,0,0.025,0.05,0.15,0,0,0.075,27474968,Allow all users (no expiry set),33824,25 May 2010,Padraic,80,5,2010-05-25,2010-05,2010
759,Jeff Merkley,https://en.wikipedia.org/wiki/Jeff_Merkley,127,0,5,7,0,111,0,0,0.03937007874,0.05511811024,0.874015748,0,0,0.09448818898,7921812,Allow all users (no expiry set),93585,13 November 2006,Esprqii,784,4,2006-11-13,2006-11,2006
760,Shade-grown coffee,https://en.wikipedia.org/wiki/Shade-grown_coffee,25,11,4,0,0,4,0,0,0.16,0,0.16,0.44,0,0.6,16821755,Allow all users (no expiry set),25314,8 April 2008,Meganmetzger,206,0,2008-04-08,2008-04,2008
761,Escarpment Mine Project,https://en.wikipedia.org/wiki/Escarpment_Mine_Project,25,0,1,2,0,0,0,0,0.04,0.08,0,0,0,0.12,34417469,Allow all users (no expiry set),13406,19 January 2012,Alan Liefting,65,0,2012-01-19,2012-01,2012
762,List of environmental websites,https://en.wikipedia.org/wiki/List_of_environmental_websites,2,0,2,0,0,0,0,0,1,0,0,0,0,1,17945185,Allow all users (no expiry set),18306,15 February 2008,Genetics4good,349,1,2008-02-15,2008-02,2008
763,Jacob Rees-Mogg,https://en.wikipedia.org/wiki/Jacob_Rees-Mogg,270,0,12,3,1,72,0,31,0.04444444444,0.01111111111,0.2666666667,0,0.003703703704,0.05925925926,6617581,Require autoconfirmed or confirmed access (no expiry set),186425,22 August 2006,Johno182,2630,10,2006-08-22,2006-08,2006
764,Externalities of automobiles,https://en.wikipedia.org/wiki/Externalities_of_automobiles,21,0,9,3,0,1,0,0,0.4285714286,0.1428571429,0.04761904762,0,0,0.5714285714,47880216,Allow all users (no expiry set),20563,20 September 2015,Joao.pimentel.ferreira,111,0,2015-09-20,2015-09,2015
765,Amazon Reef,https://en.wikipedia.org/wiki/Amazon_Reef,24,2,4,0,0,14,0,1,0.1666666667,0,0.5833333333,0.08333333333,0,0.25,50283685,Allow all users (no expiry set),20471,23 April 2016,PhilipTerryGraham,187,1,2016-04-23,2016-04,2016
766,Arbuscular mycorrhiza,https://en.wikipedia.org/wiki/Arbuscular_mycorrhiza,110,95,1,0,0,0,0,0,0.009090909091,0,0,0.8636363636,0,0.8727272727,1372958,Allow all users (no expiry set),85445,8 January 2005,65.50.17.117,469,1,2005-01-08,2005-01,2005
767,Environmental issues in Sri Lanka,https://en.wikipedia.org/wiki/Environmental_issues_in_Sri_Lanka,24,10,5,1,0,2,0,1,0.2083333333,0.04166666667,0.08333333333,0.4166666667,0,0.6666666667,51534743,Allow all users (no expiry set),23477,7 September 2016,T.br273,88,3,2016-09-07,2016-09,2016
768,Tim Kaine,https://en.wikipedia.org/wiki/Tim_Kaine,319,0,39,26,0,237,0,0,0.1222570533,0.08150470219,0.7429467085,0,0,0.2037617555,1461855,Allow all users (no expiry set),190420,3 February 2005,128.239.208.184,3356,4,2005-02-03,2005-02,2005
769,Environmental issues with salmon,https://en.wikipedia.org/wiki/Environmental_issues_with_salmon,29,10,8,7,0,2,0,0,0.275862069,0.2413793103,0.06896551724,0.3448275862,0,0.8620689655,35561444,Allow all users (no expiry set),35033,20 April 2012,Epipelagic,74,1,2012-04-20,2012-04,2012
770,Late Triassic,https://en.wikipedia.org/wiki/Late_Triassic,31,19,1,0,0,7,0,0,0.03225806452,0,0.2258064516,0.6129032258,0,0.6451612903,3029097,Allow all users (no expiry set),29973,29 October 2005,Jyril,269,0,2005-10-29,2005-10,2005
771,Institute of Atmospheric Physics AS CR,https://en.wikipedia.org/wiki/Institute_of_Atmospheric_Physics_AS_CR,6,0,0,0,0,0,0,0,0,0,0,0,0,0,27551638,Allow all users (no expiry set),7545,31 May 2010,Steve Quinn,15,0,2010-05-31,2010-05,2010
772,Canyonlands National Park,https://en.wikipedia.org/wiki/Canyonlands_National_Park,63,4,6,41,0,6,0,0,0.09523809524,0.6507936508,0.09523809524,0.06349206349,0,0.8095238095,329500,Allow all users (no expiry set),49659,27 September 2003,213.23.25.189,570,4,2003-09-27,2003-09,2003
773,2010s oil glut,https://en.wikipedia.org/wiki/2010s_oil_glut,26,0,3,1,0,17,0,1,0.1153846154,0.03846153846,0.6538461538,0,0,0.1538461538,48943512,Allow all users (no expiry set),16950,29 December 2015,B.Andersohn,131,0,2015-12-29,2015-12,2015
774,Munich,https://en.wikipedia.org/wiki/Munich,138,2,23,2,0,28,0,0,0.1666666667,0.01449275362,0.2028985507,0.01449275362,0,0.1956521739,19058,Allow all users (no expiry set),175022,19 October 2001,Paul Drye,6634,10,2001-10-19,2001-10,2001
775,John Gribbin,https://en.wikipedia.org/wiki/John_Gribbin,16,1,2,0,0,4,0,0,0.125,0,0.25,0.0625,0,0.1875,2504665,Allow all users (no expiry set),24591,21 August 2005,Lord.lucan,377,0,2005-08-21,2005-08,2005
776,Poverty reduction,https://en.wikipedia.org/wiki/Poverty_reduction,136,15,39,1,0,29,0,2,0.2867647059,0.007352941176,0.2132352941,0.1102941176,0,0.4044117647,2301052,Allow all users (no expiry set),91534,24 July 2005,86.131.170.54,705,0,2005-07-24,2005-07,2005
777,Methane clathrate,https://en.wikipedia.org/wiki/Methane_clathrate,66,27,3,3,0,17,0,1,0.04545454545,0.04545454545,0.2575757576,0.4090909091,0,0.5,54137,Allow all users (no expiry set),52883,30 May 2002,Bryan Derksen,834,0,2002-05-30,2002-05,2002
778,Fragile state,https://en.wikipedia.org/wiki/Fragile_state,32,8,13,0,0,1,0,0,0.40625,0,0.03125,0.25,0,0.65625,4638069,Allow all users (no expiry set),43355,5 April 2006,J.vanderzwan,210,3,2006-04-05,2006-04,2006
779,China Price,https://en.wikipedia.org/wiki/China_Price,21,0,5,1,0,13,0,0,0.2380952381,0.04761904762,0.619047619,0,0,0.2857142857,69338915,Allow all users (no expiry set),34212,23 November 2021,ThiNguyen2021,17,1,2021-11-23,2021-11,2021
780,Development of skiing in Utah,https://en.wikipedia.org/wiki/Development_of_skiing_in_Utah,30,0,4,0,0,4,0,0,0.1333333333,0,0.1333333333,0,0,0.1333333333,46500708,Allow all users (no expiry set),18982,23 April 2015,Falcner,40,0,2015-04-23,2015-04,2015
781,Scophthalmidae,https://en.wikipedia.org/wiki/Scophthalmidae,26,18,4,0,0,1,0,1,0.1538461538,0,0.03846153846,0.6923076923,0,0.8461538462,2242682,Allow all users (no expiry set),38279,15 July 2005,Qwertzy2,90,38,2005-07-15,2005-07,2005
782,Thoughts and prayers,https://en.wikipedia.org/wiki/Thoughts_and_prayers,146,3,8,8,0,107,0,4,0.05479452055,0.05479452055,0.7328767123,0.02054794521,0,0.1301369863,55419406,Allow all users (no expiry set),72270,2 October 2017,Another Believer,348,6,2017-10-02,2017-10,2017
783,North Indian Ocean tropical cyclone,https://en.wikipedia.org/wiki/North_Indian_Ocean_tropical_cyclone,39,1,3,17,0,7,0,1,0.07692307692,0.4358974359,0.1794871795,0.02564102564,0,0.5384615385,3028938,Allow all users (no expiry set),47361,29 October 2005,Hurricanehink,741,4,2005-10-29,2005-10,2005
784,Surf break,https://en.wikipedia.org/wiki/Surf_break,16,0,2,1,0,11,0,1,0.125,0.0625,0.6875,0,0,0.1875,21506762,Allow all users (no expiry set),32839,12 February 2009,Abbiati,244,1,2009-02-12,2009-02,2009
785,European Investment Bank,https://en.wikipedia.org/wiki/European_Investment_Bank,180,11,97,0,0,32,0,4,0.5388888889,0,0.1777777778,0.06111111111,0,0.6,57038,Allow all users (no expiry set),97565,14 June 2002,Sjc,463,0,2002-06-14,2002-06,2002
786,Liberia,https://en.wikipedia.org/wiki/Liberia,203,8,74,21,0,50,0,3,0.3645320197,0.1034482759,0.2463054187,0.039408867,0,0.5073891626,17791,Require administrator access (no expiry set),139440,18 May 2001,KoyaanisQatsi,5484,32,2001-05-18,2001-05,2001
787,Salinity in Australia,https://en.wikipedia.org/wiki/Salinity_in_Australia,41,0,1,17,0,4,0,0,0.0243902439,0.4146341463,0.09756097561,0,0,0.4390243902,1186356,Allow all users (no expiry set),29390,19 November 2004,PDH,285,0,2004-11-19,2004-11,2004
788,Land clearing in Australia,https://en.wikipedia.org/wiki/Land_clearing_in_Australia,23,3,1,10,0,4,0,1,0.04347826087,0.4347826087,0.1739130435,0.1304347826,0,0.6086956522,13966830,Allow all users (no expiry set),23585,29 October 2007,Miss powerbird,280,4,2007-10-29,2007-10,2007
789,Environment of the United States,https://en.wikipedia.org/wiki/Environment_of_the_United_States,11,1,1,1,0,5,0,0,0.09090909091,0.09090909091,0.4545454545,0.09090909091,0,0.2727272727,15151453,Allow all users (no expiry set),11466,10 January 2008,Calliopejen1,168,0,2008-01-10,2008-01,2008
790,Great Lakes,https://en.wikipedia.org/wiki/Great_Lakes,139,11,23,17,0,53,0,0,0.1654676259,0.1223021583,0.381294964,0.07913669065,0,0.3669064748,12010,Require administrator access (no expiry set),104399,1 October 2001,Dachshund,4796,22,2001-10-01,2001-10,2001
791,Marsha Blackburn,https://en.wikipedia.org/wiki/Marsha_Blackburn,142,0,13,15,0,109,0,0,0.09154929577,0.1056338028,0.7676056338,0,0,0.1971830986,216204,Allow all users (no expiry set),102479,25 April 2003,Jpcarver,2437,38,2003-04-25,2003-04,2003
792,Environmental issues in Australia,https://en.wikipedia.org/wiki/Environmental_issues_in_Australia,57,2,8,4,0,24,0,4,0.1403508772,0.0701754386,0.4210526316,0.0350877193,0,0.2456140351,4243226,Allow all users (no expiry set),43006,1 March 2006,Bkwillwm,570,0,2006-03-01,2006-03,2006
793,Kuroshio Current,https://en.wikipedia.org/wiki/Kuroshio_Current,70,52,2,2,0,6,0,0,0.02857142857,0.02857142857,0.08571428571,0.7428571429,0,0.8,952514,Allow all users (no expiry set),69669,2 September 2004,205.154.150.140,334,1,2004-09-02,2004-09,2004
794,International Socialist Alternative,https://en.wikipedia.org/wiki/International_Socialist_Alternative,50,0,12,0,0,12,0,0,0.24,0,0.24,0,0,0.24,62997841,Allow all users (no expiry set),28467,1 February 2020,Buidhe,218,1,2020-02-01,2020-02,2020
795,Brine rejection,https://en.wikipedia.org/wiki/Brine_rejection,12,3,4,0,0,0,0,0,0.3333333333,0,0,0.25,0,0.5833333333,37890717,Allow all users (no expiry set),9727,10 December 2012,Aleont~enwiki,51,0,2012-12-10,2012-12,2012
796,Environmental issues in Liberia,https://en.wikipedia.org/wiki/Environmental_issues_in_Liberia,11,2,4,0,0,5,0,0,0.3636363636,0,0.4545454545,0.1818181818,0,0.5454545455,44255324,Allow all users (no expiry set),16073,30 October 2014,PuffinSoc,56,0,2014-10-30,2014-10,2014
797,Gopher tortoise,https://en.wikipedia.org/wiki/Gopher_tortoise,61,9,11,4,0,12,0,0,0.1803278689,0.06557377049,0.1967213115,0.1475409836,0,0.393442623,4361554,Allow all users (no expiry set),50377,12 March 2006,Dawson,618,14,2006-03-12,2006-03,2006
798,Sustainable Urban Development Network,https://en.wikipedia.org/wiki/Sustainable_Urban_Development_Network,8,0,3,0,0,1,0,0,0.375,0,0.125,0,0,0.375,30153225,Allow all users (no expiry set),13495,22 December 2010,Toby Roycroft,61,0,2010-12-22,2010-12,2010
799,Altitudinal migration,https://en.wikipedia.org/wiki/Altitudinal_migration,30,25,1,0,0,0,0,0,0.03333333333,0,0,0.8333333333,0,0.8666666667,44586850,Allow all users (no expiry set),23971,3 December 2014,Larharmon,83,0,2014-12-03,2014-12,2014
800,Environmental governance,https://en.wikipedia.org/wiki/Environmental_governance,143,38,43,3,0,3,0,0,0.3006993007,0.02097902098,0.02097902098,0.2657342657,0,0.5874125874,25271012,Allow all users (no expiry set),130889,1 December 2009,Alex-cameron2,350,2,2009-12-01,2009-12,2009
801,American Coalition for Clean Coal Electricity,https://en.wikipedia.org/wiki/American_Coalition_for_Clean_Coal_Electricity,30,0,8,0,0,21,0,0,0.2666666667,0,0.7,0,0,0.2666666667,2221532,Allow all users (no expiry set),23472,12 July 2005,Maxmasnick,186,0,2005-07-12,2005-07,2005
802,Culture of Greenland,https://en.wikipedia.org/wiki/Culture_of_Greenland,14,0,4,2,0,1,0,0,0.2857142857,0.1428571429,0.07142857143,0,0,0.4285714286,1101876,Allow all users (no expiry set),12447,25 October 2004,66.245.71.132,167,0,2004-10-25,2004-10,2004
803,Henrik Svensmark,https://en.wikipedia.org/wiki/Henrik_Svensmark,45,18,3,0,0,7,0,0,0.06666666667,0,0.1555555556,0.4,0,0.4666666667,9470070,Allow all users (no expiry set),34962,12 February 2007,Ed Poor,465,1,2007-02-12,2007-02,2007
804,David Legates,https://en.wikipedia.org/wiki/David_Legates,28,2,10,3,0,8,0,0,0.3571428571,0.1071428571,0.2857142857,0.07142857143,0,0.5357142857,6057116,Allow all users (no expiry set),19735,21 July 2006,Ed Poor,339,0,2006-07-21,2006-07,2006
805,Institute for Environmental Policy in Albania,https://en.wikipedia.org/wiki/Institute_for_Environmental_Policy_in_Albania,7,0,4,0,0,1,0,0,0.5714285714,0,0.1428571429,0,0,0.5714285714,25657167,Allow all users (no expiry set),5207,2 January 2010,Edvini,42,0,2010-01-02,2010-01,2010
806,Paleoflooding,https://en.wikipedia.org/wiki/Paleoflooding,18,16,0,0,0,0,0,0,0,0,0,0.8888888889,0,0.8888888889,37855583,Allow all users (no expiry set),25017,7 December 2012,Sdmvd6,92,0,2012-12-07,2012-12,2012
807,Alpine skiing,https://en.wikipedia.org/wiki/Alpine_skiing,25,2,5,0,0,6,0,0,0.2,0,0.24,0.08,0,0.28,39576,Allow all users (no expiry set),22828,19 September 2001,144.132.75.xxx,1451,0,2001-09-19,2001-09,2001
808,Peabody Energy,https://en.wikipedia.org/wiki/Peabody_Energy,88,0,7,7,0,58,0,3,0.07954545455,0.07954545455,0.6590909091,0,0,0.1590909091,3758918,Allow all users (no expiry set),49798,18 January 2006,Abateman,504,4,2006-01-18,2006-01,2006
809,Hubert Lamb,https://en.wikipedia.org/wiki/Hubert_Lamb,15,4,1,0,0,2,0,0,0.06666666667,0,0.1333333333,0.2666666667,0,0.3333333333,797469,Allow all users (no expiry set),13359,8 July 2004,William M. Connolley,113,1,2004-07-08,2004-07,2004
810,"Centre for Aviation, Transport and Environment","https://en.wikipedia.org/wiki/Centre_for_Aviation,_Transport_and_Environment",0,0,0,0,0,0,0,0,,,,,,,35837718,Allow all users (no expiry set),7985,16 May 2012,Peterbircak,41,1,2012-05-16,2012-05,2012
811,Storm Water Management Model,https://en.wikipedia.org/wiki/Storm_Water_Management_Model,28,1,0,16,0,0,0,0,0,0.5714285714,0,0.03571428571,0,0.6071428571,3429879,Allow all users (no expiry set),55991,15 December 2005,Deccantrap,803,0,2005-12-15,2005-12,2005
812,K. A. Colorado,https://en.wikipedia.org/wiki/K._A._Colorado,35,1,8,0,0,13,0,0,0.2285714286,0,0.3714285714,0.02857142857,0,0.2571428571,65712810,Allow all users (no expiry set),23758,29 October 2020,CasaBasaSF,54,0,2020-10-29,2020-10,2020
813,Tornado,https://en.wikipedia.org/wiki/Tornado,143,26,28,36,1,26,0,0,0.1958041958,0.2517482517,0.1818181818,0.1818181818,0.006993006993,0.6363636364,37530,Require administrator access (no expiry set),108167,3 February 2002,-- April,6448,6,2002-02-03,2002-02,2002
814,Geography of South Africa,https://en.wikipedia.org/wiki/Geography_of_South_Africa,25,0,5,2,0,2,0,1,0.2,0.08,0.08,0,0,0.28,65639,Allow all users (no expiry set),50879,9 August 2001,Buttonius,652,0,2001-08-09,2001-08,2001
815,Reforestation,https://en.wikipedia.org/wiki/Reforestation,115,14,29,4,0,39,0,3,0.252173913,0.0347826087,0.3391304348,0.1217391304,0,0.4086956522,66984,Allow all users (no expiry set),68686,2 August 2002,Jaknouse,1104,8,2002-08-02,2002-08,2002
816,Harbour porpoise,https://en.wikipedia.org/wiki/Harbour_porpoise,51,18,10,0,0,4,0,0,0.1960784314,0,0.07843137255,0.3529411765,0,0.5490196078,377519,Allow all users (no expiry set),34274,24 November 2003,Pcb21,666,7,2003-11-24,2003-11,2003
817,Vanessa atalanta,https://en.wikipedia.org/wiki/Vanessa_atalanta,19,9,3,0,0,1,0,0,0.1578947368,0,0.05263157895,0.4736842105,0,0.6315789474,291008,Allow all users (no expiry set),19167,7 August 2003,Jimfbleak,430,0,2003-08-07,2003-08,2003
818,European corn borer,https://en.wikipedia.org/wiki/European_corn_borer,26,16,1,0,0,0,0,0,0.03846153846,0,0,0.6153846154,0,0.6538461538,8976548,Allow all users (no expiry set),24922,17 January 2007,LeoNomis,220,0,2007-01-17,2007-01,2007
819,Diprotodon,https://en.wikipedia.org/wiki/Diprotodon,56,19,2,4,0,9,0,1,0.03571428571,0.07142857143,0.1607142857,0.3392857143,0,0.4464285714,8717,Allow all users (no expiry set),39814,27 October 2001,The Epopt,841,0,2001-10-27,2001-10,2001
820,Presidency of Barack Obama,https://en.wikipedia.org/wiki/Presidency_of_Barack_Obama,538,13,37,22,0,422,0,6,0.0687732342,0.04089219331,0.7843866171,0.02416356877,0,0.1338289963,20082093,Require administrator access (no expiry set),291576,5 November 2008,Rickyrab,5430,9,2008-11-05,2008-11,2008
821,Umm al Binni lake,https://en.wikipedia.org/wiki/Umm_al_Binni_lake,14,1,0,0,0,0,0,0,0,0,0,0.07142857143,0,0.07142857143,9085786,Allow all users (no expiry set),9101,24 January 2007,Theblacktaj,123,0,2007-01-24,2007-01,2007
822,Glacial stream,https://en.wikipedia.org/wiki/Glacial_stream,17,12,1,3,0,0,0,0,0.05882352941,0.1764705882,0,0.7058823529,0,0.9411764706,49266988,Allow all users (no expiry set),18190,30 January 2016,Tykyheg,47,0,2016-01-30,2016-01,2016
823,Cat flea,https://en.wikipedia.org/wiki/Cat_flea,21,8,1,3,0,3,0,0,0.04761904762,0.1428571429,0.1428571429,0.380952381,0,0.5714285714,6281041,Allow all users (no expiry set),17978,5 August 2006,Caroldermoid,430,0,2006-08-05,2006-08,2006
824,Mixotrophic dinoflagellate,https://en.wikipedia.org/wiki/Mixotrophic_dinoflagellate,16,14,0,1,0,0,0,0,0,0.0625,0,0.875,0,0.9375,53396979,Allow all users (no expiry set),19276,6 March 2017,Pinky.s,63,0,2017-03-06,2017-03,2017
825,Harmful algal bloom,https://en.wikipedia.org/wiki/Harmful_algal_bloom,270,50,26,39,1,102,0,3,0.0962962963,0.1444444444,0.3777777778,0.1851851852,0.003703703704,0.4296296296,18348855,Allow all users (no expiry set),157201,18 July 2007,Bosco911,509,69,2007-07-18,2007-07,2007
826,Tina Smith,https://en.wikipedia.org/wiki/Tina_Smith,82,0,5,12,0,53,0,0,0.06097560976,0.1463414634,0.6463414634,0,0,0.2073170732,44307500,Allow all users (no expiry set),55912,5 November 2014,Mrfeek,661,6,2014-11-05,2014-11,2014
827,Ecological evolutionary developmental biology,https://en.wikipedia.org/wiki/Ecological_evolutionary_developmental_biology,11,10,1,0,0,0,0,0,0.09090909091,0,0,0.9090909091,0,1,68801278,Allow all users (no expiry set),10475,23 September 2021,Luikmot,27,0,2021-09-23,2021-09,2021
